City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,San Lorenzo,PY,-25.3333,-57.5333,68.94,78,0,4.61,clear sky
327,Hofn,IS,64.2539,-15.2082,37.45,50,10,13.76,clear sky
328,Kalemie,CD,-5.9475,29.1947,71.1,85,38,2.55,scattered clouds
329,Shorkot,PK,31.9099,70.8774,87.19,22,0,4.0,clear sky
330,Albanel,CA,48.8832,-72.4487,46.54,33,61,11.5,broken clouds
331,Umm Kaddadah,SD,13.6017,26.6876,80.44,14,75,13.33,broken clouds
332,Kermanshah,IR,34.3142,47.065,56.3,47,40,0.0,scattered clouds
333,Buchanan,LR,5.8808,-10.0467,77.67,82,94,1.16,overcast clouds
334,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,74,75,6.91,broken clouds
335,El Carmen,CO,8.5106,-73.4478,69.64,98,92,2.57,overcast clouds
336,Tukrah,LY,32.5341,20.5791,73.02,33,44,29.39,scattered clouds
337,Vallentuna,SE,59.5344,18.0776,52.38,78,0,11.5,clear sky
338,Nahavand,IR,34.1885,48.377,52.07,41,17,4.92,few clouds
339,Catamarca,AR,-28.4696,-65.7852,63.59,61,100,3.04,overcast clouds
340,Soria,ES,41.6667,-2.6667,46.85,98,0,3.62,clear sky
341,Road Town,VG,18.4167,-64.6167,80.69,74,40,8.05,scattered clouds
